comment,post_type
"Obsessed with this product! Just ordered mine 🙌","sponsored"
"Use code SARAH20 for discount girls!","sponsored"
"Finally tried it and it's amazing!!!","sponsored"
"Is this actually worth it or just paid promo?","sponsored"
"Link in bio doesn't work for me","sponsored"
"Been using this for 2 weeks and my skin is glowing","sponsored"
"Another ad... unfollow","sponsored"
"How much did they pay you for this lol","sponsored"
"Bought it! Can't wait to try","sponsored"
"This changed my morning routine completely","sponsored"
"Does it work for sensitive skin?","sponsored"
"The packaging is so cute omg","sponsored"
"Discount code expired already 😭","sponsored"
"Best collab ever! You always pick good brands","sponsored"
"My wallet is crying but I need this","sponsored"
"Tried it, totally not worth the hype","sponsored"
"Ad or not I trust your recommendations","sponsored"
"This looks exactly like the drugstore version","sponsored"
"Queen of skincare recommendations 👑","sponsored"
"Just say it's an ad and move on","sponsored"
"Ingredients list please?","sponsored"
"Ships to Canada?","sponsored"
"This cured my acne no joke","sponsored"
"Smells incredible according to my friend who bought it","sponsored"
"Why is everything so expensive these days","sponsored"
"Love supporting your partnerships babe","sponsored"
"The before and after is insane","sponsored"
"Need a dupe for this ASAP","sponsored"
"Your skin looks amazing here","sponsored"
"Sold out already?! Come on","sponsored"
"Your morning routine is goals 😍","organic - daily"
"What time do you wake up?","organic - daily"
"Love seeing your daily content","organic - daily"
"That coffee looks so good rn","organic - daily"
"Where is that sweater from?!","organic - daily"
"You're literally my style inspo","organic - daily"
"Living for these cozy vibes","organic - daily"
"Your apartment is so aesthetic","organic - daily"
"Need that lamp in my life","organic - daily"
"How do you stay so organized?","organic - daily"
"This makes me want to redecorate everything","organic - daily"
"Sunday reset goals right here","organic - daily"
"Your content always makes my day better","organic - daily"
"Wish my mornings looked like this","organic - daily"
"That book any good? Adding to my list","organic - daily"
"Living vicariously through your stories","organic - daily"
"The aesthetic is immaculate as always","organic - daily"
"How is your place always so clean","organic - daily"
"This is the motivation I needed today","organic - daily"
"Brunch spot location please!! 🙏","organic - daily"
"Your energy is everything","organic - daily"
"Journaling prompts? I want to start","organic - daily"
"This made me smile, thank you","organic - daily"
"Obsessed with your home decor taste","organic - daily"
"What planner do you use?","organic - daily"
"The plant collection is growing!","organic - daily"
"Self care Sunday done right","organic - daily"
"You make adulting look so easy","organic - daily"
"Recipe for that smoothie bowl?","organic - daily"
"Your dog is the real star here 🐕","organic - daily"
"Gym fit check is fire","organic - daily"
"What podcast are you listening to?","organic - daily"
"This view is unreal where is this","organic - daily"
"Hair tutorial needed ASAP","organic - daily"
"The golden hour lighting though ✨","organic - daily"
"You're glowing! What's your secret","organic - daily"
"Adding this cafe to my must-visit list","organic - daily"
"Your vibe is so calming I love it","organic - daily"
"Skincare routine video when??","organic - daily"
"This is giving main character energy","organic - daily"
"Not me screenshotting for inspo","organic - daily"
"Weekend well spent it looks like!","organic - daily"
"The outfit details I'm begging","organic - daily"
"How do you edit your photos?","organic - daily"
"Literally perfect human doesn't exis- oh wait","organic - daily"
"This is the content I signed up for","organic - daily"
"Your taste level is unmatched","organic - daily"
"Saving this for future reference","organic - daily"
"You deserve all the good things","organic - daily"
"Finally someone said it 🔥🔥🔥","organic - ragebait"
"The comments are going to be wild on this one","organic - ragebait"
"Grabs popcorn for the drama","organic - ragebait"
"You're so brave for posting this","organic - ragebait"
"People are going to be SO mad lol","organic - ragebait"
"This shouldn't be controversial but here we are","organic - ragebait"
"Say it louder for the people in the back","organic - ragebait"
"The triggered comments incoming 3 2 1","organic - ragebait"
"You just ended so many people with this","organic - ragebait"
"THIS is why I follow you","organic - ragebait"
"Not you starting discourse on a Tuesday","organic - ragebait"
"The way this is going to blow up","organic - ragebait"
"I don't agree but respect for saying it","organic - ragebait"
"Unfollowing for this honestly","organic - ragebait"
"You know exactly what you're doing","organic - ragebait"
"Engagement farming at its finest","organic - ragebait"
"Read the room maybe?","organic - ragebait"
"This take is absolutely unhinged","organic - ragebait"
"The algorithm is going to love this","organic - ragebait"
"You didn't have to go this hard but you did","organic - ragebait"
"Controversial opinion but you're right","organic - ragebait"
"Here before this gets deleted","organic - ragebait"
"The pick me energy is strong","organic - ragebait"
"This ain't it chief","organic - ragebait"
"Ratio incoming watch","organic - ragebait"
"You really woke up and chose violence","organic - ragebait"
"Tell me you want engagement without telling me","organic - ragebait"
"The discourse this is going to create omg","organic - ragebait"
"Bold move cotton let's see how it plays out","organic - ragebait"
"Some of y'all are going to be real mad at this","organic - ragebait"
"This is either genius or career ending","organic - ragebait"
"The chaos you're about to unleash","organic - ragebait"
"I'm here for the mess in the comments","organic - ragebait"
"You're not wrong you're just annoying about it","organic - ragebait"
"Main character syndrome but make it problematic","organic - ragebait"
"The way I ran to the comments","organic - ragebait"
"This screams I need attention","organic - ragebait"
"Logging off after this one","organic - ragebait"
"The hot takes are getting hotter","organic - ragebait"
