influencer_id,platform,followers,engagement_rate,avg_likes,avg_comments,posts_per_month,audience_age_median,content_category,cost_per_post,conversion_rate,brand_fit_score
1,Instagram,50000,4.2,2100,156,12,28,lifestyle,2500,5.6,8.2
2,TikTok,150000,6.8,10200,450,20,21,beauty,5000,8.9,7.1
3,Instagram,35000,3.5,1050,89,8,32,fashion,1500,4.2,6.8
4,YouTube,450000,2.1,45000,1200,4,25,tech,,9.2,8.5
5,Instagram,28000,5.1,1420,128,15,24,food,1200,7.1,8.9
6,TikTok,280000,7.2,20160,800,25,19,comedy,8000,6.5,5.2
7,Instagram,120000,3.8,4560,342,10,29,fashion,3500,5.8,7.9
8,YouTube,890000,1.9,,1800,3,22,gaming,,11.2,7.4
9,Instagram,45000,4.6,2070,184,14,27,lifestyle,2000,6.3,8.1
10,TikTok,320000,6.5,20800,728,22,20,dance,6500,7.8,6.3
11,Instagram,62000,3.2,1984,149,9,31,travel,2800,4.5,7.2
12,YouTube,1200000,1.8,21600,950,2,28,education,,13.5,8.8
13,Instagram,33000,4.9,1617,138,13,26,beauty,1400,6.7,8.7
14,TikTok,195000,7.1,13860,582,24,18,music,4500,8.1,7.6
15,Instagram,71000,3.6,2556,228,11,30,lifestyle,3200,5.2,7.5
16,YouTube,520000,2.3,11960,1040,5,24,fitness,,10.1,8.2
17,Instagram,38000,4.4,1672,150,12,25,fashion,1800,5.9,7.8
18,TikTok,410000,6.3,25830,738,19,22,fashion,7000,7.2,8.4
19,Instagram,,3.9,1950,156,10,28,food,2200,5.4,8.0
20,YouTube,680000,2.0,,820,3,26,vlog,,9.8,7.9
21,Instagram,84000,3.7,3108,261,12,29,travel,3800,5.5,7.6
22,TikTok,240000,6.9,16560,696,21,21,comedy,5500,8.4,6.8
23,Instagram,47000,4.8,2256,180,14,23,beauty,1900,7.2,8.6
24,YouTube,950000,1.9,18050,1235,4,27,tech,,12.1,8.6
25,Instagram,55000,3.4,1870,145,8,32,lifestyle,2400,4.8,6.9
26,TikTok,165000,7.3,12045,604,26,20,beauty,3800,9.1,7.9
27,Instagram,103000,3.8,3914,313,11,28,fashion,4200,5.7,7.7
28,YouTube,760000,2.1,,945,2,25,gaming,,11.5,8.0
29,Instagram,41000,4.7,1927,165,15,24,food,1700,6.8,8.4
30,TikTok,370000,6.6,24420,666,20,19,dance,6800,7.9,6.5
